 ;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25;T26;T27;T28;T29;T30;T31;T32;T33;T34;T35;T36;T37;T38;T39;T40;T41;T42;T43;T44;T45;T46;T47;T48;T49;T50;T51;T52;T53;T54;T55;T56;T57;T58;T59;T60;T61;T62;T63;T64;T65;T66;T67;T68;T69;T70;T71;T72;T73;T74;T75;T76;T77;T78;T79;T80;T81;T82;T83;T84;T85;T86;T87;T88;T89;T90;T91;T92;T93;T94;T95;T96;T97;T98;T99;T100;T101;T102;T103;T104;T105;T106;T107;T108;T109;T110;T111;T112;T113;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157;T158;T159;T160;T161;T162;T163;T164;T165;T166;T167;T168;T169;T170;T171;T172;T173;T174;T175;T176;T177;T178;T179;T180;T181;T182;T183;T184;T185;T186;T187;T188;T189;T190;T191;T192;T193;T194;T195;T196;T197;T198;T199;T200;T201;T202;T203;T204;T205;T206;T207;T208;T209;T210;T211;T212;T213;T214;T215;T216;T217;T218;T219;T220;T221;T222;T223;T224;T225;T226;T227;T228;T229;T230;T231;T232;T233;T234;T235;T236;T237;T238;T239;T240;T241;T242;T243;T244;T245;T246;T247;T248;T249;T250;T251;T252;T253;T254;T255;T256;T257;T258;T259;T260;T261;T262;T263;T264;T265;T266;T267;T268;T269;T270;T271;T272;T273;T274;T275;T276;T277;T278;T279;T280;T281;T282;T283;
T0;0;0.75;1;1;0.916667;1;0.75;1;0.75;1;0.333333;0.8;0;1;1;1;0.333333;1;0.777778;1;0.9;1;1;1;0;0.916667;0.888889;0;0;0.9;0.8;0.6;1;1;1;0.909091;1;0.8;0.7;1;0;1;0;0.916667;0.833333;0.8;0.8;1;1;0.333333;0.866667;0.916667;0.875;1;1;0.909091;1;0.642857;0.9;1;1;1;1;0.916667;0.5;1;0.9;1;0.882353;0.666667;1;0.909091;0.75;1;1;0.6875;1;1;0;1;0.666667;0.875;1;0.75;1;1;0.916667;0.916667;1;0.888889;0.5;1;0.625;0.666667;1;0.857143;0;1;1;0;0.916667;0.923077;1;1;1;1;0.5;1;1;1;0.785714;0.947368;1;0.75;0.777778;1;0.8;0.857143;0.888889;0.888889;0.833333;0.875;0.916667;0.75;0.75;1;0.888889;1;0.6;0.5;0.8;1;0.818182;0.833333;1;0.9;0;1;0.875;1;0.875;0.666667;0.9;1;0.75;0.888889;0.5;1;0;1;0.846154;0.75;1;0.888889;1;0.916667;0.666667;0.8;1;0.9;1;1;0.6;0.8125;0.941176;0.777778;1;1;1;0.916667;0.8;0.875;0;0.875;0.833333;0.833333;0.857143;1;0.666667;0.8;1;0.666667;1;0.909091;0.818182;0.833333;1;0;1;0.25;0.8;1;0.5;0.818182;0.9;0.818182;0.818182;0.857143;0;1;0.909091;1;0.5;0;0.625;0.888889;0.769231;0.833333;0.857143;0.8;0.75;0.6;0.875;1;1;0.916667;0.625;1;0.9;0.666667;0.9;0.916667;0.75;0.8;0.846154;0.8125;1;0.75;1;1;0.833333;0.666667;0.666667;1;0.75;0.8;0.933333;0.571429;0.909091;1;0.75;1;0.888889;0.833333;0;0.666667;0;1;0.75;0.857143;1;0;0.8;1;1;0.818182;1;1;0.9;1;0.833333;0.909091;1;0.9;0.916667;0.888889;0.875;0.833333;1;0;1;0.916667;0.8;1;1;0;0.666667;1;0.333333;0.666667;0.857143;1;0.916667;1;
T1;0.75;0;0;0.666667;1;1;0;0;0;0;0;1;0;1;0;0;0.5;0.666667;0.666667;0.333333;0.666667;0.333333;0;0;0.5;0.666667;0.666667;1;0;1;0;0.75;0;0;1;0.666667;0;0.5;0.333333;0;0;0;1;1;0.8;0.666667;0.666667;0;0;1;0.375;0.333333;0.4;0;0.666667;0;1;0.2;0.666667;0.666667;0.666667;1;0.333333;1;0.333333;0;0.666667;0;1;0;1;0.333333;0.666667;0;0;0.75;0.4;0;0;0.7;0;0;0;0.666667;0;0.5;1;1;0;0;0;0.5;0;0;0;0.333333;0;0;0;0;0.666667;0;1;0;0;0;0;0.5;0;0.666667;0.375;0.375;1;1;0;0.666667;0;0.5;0.666667;0.666667;0;0.857143;0.6;0.666667;0;0;0.666667;0;0.333333;0;0.4;0.5;0.3;0.666667;0;0.5;1;0;0;0;1;1;1;0;0.666667;1;0;0;0;0;0.5;0.666667;0;0.625;0;1;0;0.25;0;1;0.5;0;0;0.714286;0.7;1;0.333333;0;0.6;1;0;1;0;0.555556;1;0.666667;1;0;0;0.75;1;0;1;0.666667;0;0.666667;0;0;0;0;0.666667;0;0.5;0.666667;0.666667;1;0.666667;1;0;0;1;0;1;0;0.666667;1;0.6;0.666667;0.8;0.625;0.666667;0;1;0;0;1;0;1;0.5;0.5;0.5;1;0;1;0.5;0.4;0;0.666667;0;0;1;0;1;0;1;0.666667;0.888889;0;0.5;0;1;0;1;0.5;0;0;0;1;1;0;0;0;0.75;0;0.666667;0.7;0;0.666667;1;0;1;0.666667;0.666667;0.666667;0.666667;1;0.5;1;0;1;0;0.666667;1;0;0;0;0;1;0;0.5;0;0;0.666667;0.666667;
T2;1;0;0;0;1;0;0.666667;0.5;0;0;1;0;1;0;0.666667;0.923077;0;1;0.5;0.8;1;0;1;1;0;1;0.5;0;0;1;1;0;0.666667;0;0.25;0.875;1;0.941176;0;1;1;1;0.833333;1;0.818182;1;0;0;1;0;1;1;0.75;0.875;0;0.8;1;1;0.666667;1;1;1;1;0.8;0;1;1;0.8;0.944444;0.5;0;1;0;0;0.5;1;1;0;0;1;0;1;0;0;1;0.5;0.6;1;1;0.9375;0;0;0.666667;0.666667;0;1;0;1;0.666667;0;1;0.941176;0;0;1;0;0;0;1;0;0.9375;0.913043;1;0;1;0;1;0.941176;1;1;0;1;0.818182;0;0.866667;0.818182;0;0.666667;0;1;0;1;1;1;0;1;0;1;1;0.952381;0.666667;0;0.666667;1;0;1;0;1;0;0.666667;1;0;1;0.9375;1;1;1;1;1;0.8;1;0;1;1;1;0.833333;1;0;1;1;0.5;1;0;0;1;1;0.666667;0;0.666667;0;1;1;1;1;1;1;0;0;0;1;0.5;0.666667;1;1;1;1;1;0;0;0;1;1;0;1;1;0.8;1;1;1;1;0;1;1;0;1;0.714286;1;0;1;0;1;0.888889;1;0;1;0.941176;0.8;0;0;0;0.857143;1;0;0;0.5;0.833333;1;1;1;1;0;0;1;0.857143;0;0;1;0;0;1;0;1;0;0.75;0;0.869565;1;1;1;0.666667;0;0.75;0.857143;1;1;0;1;0;0.666667;0;0;1;0;0;0.625;1;0;0;1;0;0.866667;1;1;1;
T3;1;0.666667;0;0;0.777778;0.333333;0;0.6;1;0;0.5;0.75;0;1;0.8;0.666667;0.666667;0.555556;0.666667;0.666667;0.428571;0.75;0;0;1;0.666667;0.777778;0;0;0.888889;0.5;0.75;0;0;0.666667;0.444444;0.571429;1;0.75;0.25;0;0.333333;0.5;0.888889;0.666667;0.5;0.75;0;0.5;1;0.777778;0.444444;0.666667;1;0.333333;0.75;0.555556;0.8;0.666667;0.888889;0.888889;1;1;1;0.75;0;0.571429;0;0.666667;0.666667;0.5;0.777778;0.5;0;0.5;0.666667;0.777778;0;1;0.444444;0.5;1;1;0.25;1;0.625;0.888889;0.777778;0.777778;0.857143;0;0.333333;0.5;0.5;0;0.666667;0;0;0.8;1;0.777778;0.6;1;0;0;0.5;0;0.333333;0;0.888889;0.714286;0.625;0.777778;0.5;1;0.5;0.5;0.777778;0.555556;0.666667;0.8;0.777778;0.75;0.25;1;0;0.444444;0;0.75;1;1;0.666667;0.777778;0.888889;0;0.428571;0.5;1;0.6;0.714286;0.714286;1;0.888889;0.5;0.75;0.875;0;0.8;1;0.5;0.5;0.5;0;0.428571;0.666667;0.777778;0.8;0.666667;0;0.857143;0.571429;0.5;0.333333;0.444444;0.555556;0.5;0;0.5;0.777778;0.888889;1;1;0;0.666667;0.777778;0.666667;1;0;0.5;0.25;0.8;1;0.75;0.666667;0.714286;0.888889;0;1;1;1;0.25;0;0.833333;0.777778;0.625;1;0.777778;0.833333;0;0;0.875;0.833333;0.5;1;0.571429;0.833333;0.777778;0.666667;0.777778;0.875;0.5;0.75;1;0;1;0.888889;0;1;0.875;0.666667;1;0.777778;1;1;0.777778;0.75;0.5;0.5;0.5;0;0.888889;1;0.333333;1;0.571429;0.777778;0.875;1;0.75;0.714286;0.75;0;0.888889;0;1;0.666667;1;0.5;1;0.75;0.5;0;0.5;0;1;0.555556;0.285714;0.555556;0.857143;0;1;0.444444;0.777778;0.444444;0.666667;0.666667;0.5;0.8;0.75;0;0;0.5;0.75;0;0.571429;0;0.666667;1;1;0.666667;0.5;1;0.777778;0.555556;
T4;0.916667;1;1;0.777778;0;0.666667;1;1;0.5;1;0.333333;0.8;0;1;1;1;1;0.909091;0.666667;1;0.8;1;1;1;1;1;0.888889;0;0;1;0.6;1;1;0;0.875;0.909091;0.888889;1;1;0.8;1;0.833333;1;0.916667;1;0.9;1;1;0.8;1;0.5;1;0.818182;0;0.333333;1;0.833333;0.714286;0.9;1;1;1;1;1;1;0.666667;0.8;0;0.75;0.666667;0;1;0.75;1;1;0.818182;1;1;1;0.9;0.666667;0.875;1;0.75;1;0.75;1;0.916667;0.916667;1;1;0.75;1;0.333333;0;0.857143;1;1;1;1;1;0.875;1;1;1;0.333333;1;0.6;1;1;0.625;1;0.833333;0.5;0.6;0.75;0.8;1;0.777778;1;0.666667;0.916667;0.8;0.75;1;0.75;0.888889;1;1;0.5;1;1;0.916667;0.916667;0;1;1;1;0.625;0.888889;0.875;0.666667;1;1;1;1;1;1;1;1;0.818182;0.75;0.5;0.6;0.888889;0.833333;0.714286;0.916667;0.666667;0.6;0.777778;0.666667;0.6;0.833333;0.916667;0.666667;1;0.8;1;0.833333;1;0.75;0;1;1;0.75;0.714286;0.5;0.333333;0.75;0.875;0.666667;0.777778;0.727273;0.666667;0.916667;0.333333;1;1;0.5;0.8;0.333333;0.875;0.909091;0.7;0.909091;0.818182;1;0;0;0.818182;0.857143;0.5;0;0.625;0.777778;0.818182;0.75;0.916667;1;0.75;0.6;0.625;1;1;0.916667;0.666667;1;0.8;1;0.833333;0.916667;1;1;0.833333;0.727273;1;0.75;0.5;1;0.833333;0.5;0.666667;0;0.375;1;0.909091;0.571429;0.727273;0.9;0.75;1;0.888889;1;1;0.666667;0;0;1;0.571429;1;0;0.75;1;1;0.916667;0.9;0.916667;1;1;1;0.727273;1;0.8;0.916667;0.888889;0.875;0.833333;0.8;0;1;1;0.8;1;0.875;0;1;1;0;1;0.857143;0.75;1;1;
T5;1;1;0;0.333333;0.666667;0;0;0;1;0;0;0.666667;0;1;0;0;1;0.333333;0.666667;1;0.666667;1;0;0;1;1;0.666667;0;0;1;0;1;0;0;0;0.666667;0;0;1;0;0;0;1;1;1;0.666667;1;0;0;0.5;0.666667;1;0.333333;0;0.666667;1;0;0;0.666667;1;1;1;1;1;1;0;1;0;0.666667;0;0;1;0.666667;0;0;0.666667;1;0;0;1;0;1;0;0.666667;0;0.5;0.666667;0.666667;1;0;1;0.5;0;0;0;1;0;0;0;0;0.666667;0;1;0;0;0;1;0.5;0;0.666667;0;1;0.666667;0.5;0;0.666667;0;1;0.666667;0;0;1;0.666667;0.666667;0;0;0.666667;0;1;0;1;1;1;0.666667;0;1;1;0;0;0;0.5;1;1;0;1;1;1;0;0;0;0;0.666667;0;0.666667;0;0.666667;1;1;0;0.5;0;0;0;0.666667;0.666667;0;0;0;1;0.666667;0;0.666667;0;1;0.666667;0.666667;0;0;0;0.666667;0.666667;0;0;0.666667;1;0.666667;0;0;0;0;0.666667;0;1;0.666667;0.333333;1;0.666667;1;0;0;0.666667;0;0.5;0;0.666667;0;0.666667;0.666667;0.666667;1;0.666667;0;0.666667;0;0;0;0;0.5;0;1;0;1;0;1;0.666667;0.666667;0;0.666667;0;0;0.666667;0;0.5;0;0.5;1;0.333333;0;0.5;0;0.666667;0;0.666667;0;0;0;0;0.5;1;0;1;0;0.666667;0;1;0.666667;0;0.666667;1;0;1;0.333333;1;0.666667;0.666667;0.666667;1;0.5;0;0;0;1;0.666667;0;0.5;0;1;1;0;1;0;0;1;1;
T6;0.75;0;0.666667;0;1;0;0;0;0;0;1;0;0;0;0;0.666667;0;0;0;1;0;0;0;1;0;0.75;0;0;0;0;1;0;0;0;1;0;0;0.285714;0;0.833333;0;0;0;1;0;0;0;0;1;0;0.625;0;0.666667;0;0;1;0;0.5;0;0;1;0;0;0;0;0;0;0;0.875;0;0;0;0;0;1;1;0.333333;0;0;0.428571;0;0;0;0;0;0;1;0.5;0;0.5;0;0;1;0;0;0.8;0;0.5;0;0;1;1;0;0;0;0;0;0;0;0;0.818182;0.692308;1;0;0.545455;0;1;0.75;0;0;0;1;0.5;0;0.666667;0.5;0;0;0;0;0;0;0.846154;0;0;1;0;0;1;0.833333;0;0;0;0;0;0;0;0.8;0;0;0.833333;0;0;0.857143;0;0;0;0.769231;0;0;0;0;0;0.75;0.818182;1;0.7;0;1;1;1;0;0;0.5;0;0;1;0;0;0;0;0;1;0;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.666667;0;1;0.666667;0;0;0;0;0;0;0.6;0;0;0;0.75;0;0;1;0;0.727273;1;0;0;0;0;1;0;0;0;1;0.9;0;1;0;0;0;0;0.6;0;0;0;0;0;0;0;0;0;1;0;0.923077;0;0.333333;0;1;0;0;0.5;0;1;0;0;0;0;0;0;0.727273;0;0;0;0;0;0;0.5;0;1;0;0;0.833333;
T7;1;0;0.5;0.6;1;0;0;0;0;0;1;1;1;1;0.666667;0.333333;0;0.833333;0.8;0.333333;0.8;0;1;1;0;0.666667;0.6;0;0;0.5;1;0;0;0;0.25;0.833333;0.666667;1;0;0.25;0;0.333333;0;0.666667;1;0.6;1;1;0.5;0;1;0.5;0.666667;0;0;0.6;1;1;0.2;0.833333;0.666667;0.8;0.833333;0.666667;1;1;0.8;0;0.5;0.5;0;1;1;0;0;1;1;0;0;0.4;0;1;0;0;0.5;0.6;0.833333;1;0.833333;0.666667;0;0;0;1;0;0;0;0;0.8;0;0.5;0.8;0;0;1;1;0;0.5;0;1;1;0.6;0.666667;0;1;0;1;0.6;0.8;0;1;0.333333;0.75;0;1;1;0.8;1;1;1;0;0.4;1;1;0;0.6;0;0.666667;0.75;0.833333;0.5;0;0.5;0.5;0;0.833333;0;0.75;1;0.5;1;1;0;0.2;0.6;0.666667;1;1;0.666667;1;0.833333;1;1;0.833333;0.666667;0.666667;0;1;0.166667;0.833333;0;0.5;0;0;0.666667;0.833333;1;0;1;0;0.666667;1;1;0.8;0.8;0.833333;0;0;0;1;0;0;0.8;0.8;0.833333;1;0.833333;0.25;0;0;1;0.833333;0;1;0.8;1;0.6;1;0.333333;0.6;0;1;1;0;0;0.833333;1;0;1;0;1;0.833333;1;1;0.833333;0.833333;0.5;1;1;1;1;1;0;1;1;0.666667;0.666667;1;0.833333;0.833333;0;0;0.8;0;0;0.5;1;0;0;1;0;1;0;1;0;0.666667;1;0.666667;0.8;1;0.5;1;0.666667;0.4;0.666667;0.333333;0.4;0;0.75;0;0;0.6;1;1;0.6;0;0;1;1;0;1;1;0.666667;0.666667;
T8;0.75;0;0;1;0.5;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0.75;0.333333;0;0;0;0;0.75;0.5;0;1;0.5;0;0;0;0;0;0.333333;0;0;1;0;0;1;0;0.75;0;0;0.5;0;0;0;0.75;0.25;1;0;1;0.75;1;0;0.666667;1;1;1;0;0.75;0;0;0.666667;0;0.25;0;0;0.666667;0;0;0;0.333333;0.75;0;0;0.666667;0;0;0;0;0;1;0.75;0.5;0.25;1;0;1;0;0;0;1;0;0;0;0;0.5;0;0;0;0;0;0;0;0;1;0;0.75;1;0;0;0;0;0.5;0;0;0;1;0.25;0;0;0;0.5;0;0;0;0.5;1;0.75;0.75;0;0.333333;0;0;1;0;0;0;0.5;0;0;0;0;0;0;0;1;0;0;0.333333;1;0.5;0;0.25;0;1;1;0;0;0.75;0;0.333333;1;0;1;0.75;0;0.25;0;0;0.25;0.75;0.5;0;0;0;0.666667;0;0.5;0;0;0.25;0.5;0;0;0;0.5;0;0;0.25;1;0.75;0.333333;0;0;0;0;0;0;0;0;0;0;0.75;0.5;0;0;0;1;0;0;0.75;0;0;0;0;0;0.75;0;0.5;0.25;1;0;0;0;0;0.75;0;0;0;0;0.666667;0.666667;1;0.666667;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0.75;0.5;0.5;0.333333;0;0.5;0.666667;0.666667;0.333333;0.5;0.5;0;0.333333;0;0;0;0.75;0.5;0;1;0;0;1;0;0;0.5;0;0;0.5;
T9;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;
